"Lieferantennummern";"ID";"Produktcode";"Artikelname";"Beschreibung";"Standardkosten";"Listenpreis";"Mindestbestand";"Ziel für Bestand";"Liefereinheit";"Auslaufartikel";"Mindeststückzahl für Nachbestellung";"Kategorie";"Anlagen"
"1";82;"NWTC-82";"Northwind Traders Granola";;€ 2,00;€ 4,00;20;100;;0;;"Getreideprodukte";
"9";83;"NWTCS-83";"Northwind Traders Potato Chips";;€ 0,50;€ 1,80;30;200;;0;;"Chips, Snacks";
"1";85;"NWTBGM-85";"Northwind Traders Brownie Mix";;€ 9,00;€ 12,49;10;20;"3 Kartons";0;5;"Backwaren & Backmischungen";
"1";86;"NWTBGM-86";"Northwind Traders Cake Mix";;€ 10,50;€ 15,99;10;20;"4 Kartons";0;5;"Backwaren & Backmischungen";
"7";87;"NWTB-87";"Northwind Traders Tea";;€ 2,00;€ 4,00;20;50;"100 Stück pro Karton";0;;"Getränke";
"6";88;"NWTCFV-88";"Northwind Traders Pears";;€ 1,00;€ 1,30;10;40;"15,25 oz";0;;"Obst- & Gemüsekonserven";
"6";89;"NWTCFV-89";"Northwind Traders Peaches";;€ 1,00;€ 1,50;10;40;"15,25 oz";0;;"Obst- & Gemüsekonserven";
"6";90;"NWTCFV-90";"Northwind Traders Pineapple";;€ 1,00;€ 1,80;10;40;"15,25 oz";0;;"Obst- & Gemüsekonserven";
"6";91;"NWTCFV-91";"Northwind Traders Cherry Pie Filling";;€ 1,00;€ 2,00;10;40;"15,25 oz";0;;"Obst- & Gemüsekonserven";
"6";92;"NWTCFV-92";"Northwind Traders Green Beans";;€ 1,00;€ 1,20;10;40;"14,5 oz";0;;"Obst- & Gemüsekonserven";
"6";93;"NWTCFV-93";"Northwind Traders Corn";;€ 1,00;€ 1,20;10;40;"14,5 oz";0;;"Obst- & Gemüsekonserven";
"6";94;"NWTCFV-94";"Northwind Traders Peas";;€ 1,00;€ 1,50;10;40;"14,5 oz";0;;"Obst- & Gemüsekonserven";
"7";95;"NWTCM-95";"Northwind Traders Tuna Fish";;€ 0,50;€ 2,00;30;50;"5 oz";0;;"Fleischkonserven";
"7";96;"NWTCM-96";"Northwind Traders Smoked Salmon";;€ 2,00;€ 4,00;30;50;"5 oz";0;;"Fleischkonserven";
"1";97;"NWTC-82";"Northwind Traders Hot Cereal";;€ 3,00;€ 5,00;50;200;;0;;"Getreideprodukte";
"6";98;"NWTSO-98";"Northwind Traders Vegetable Soup";;€ 1,00;€ 1,89;100;200;;0;;"Suppen";
"6";99;"NWTSO-99";"Northwind Traders Chicken Soup";;€ 1,00;€ 1,95;100;200;;0;;"Suppen";
